Test Name,Chapter,Question ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Section Reference
"Chapter 15: Speed Skydiving - National Test",SP,1,"For weather/ATC reasons, the minimum exit altitude may be reduced to what?","10,000 feet","11,000 feet","12,000 feet","12,500 feet","11,000 feet","5.4.2"
"Chapter 15: Speed Skydiving - National Test",SP,2,"When exit altitude is reduced, how is the performance window adjusted?","Stays the same","Reduced by same amount","Always uses full window","Breakoff changes","Reduced by same amount","5.4.2"
"Chapter 15: Speed Skydiving - National Test",SP,3,"Any one round must be completed with what altitude parameters?","Any altitude OK","The same parameters","Full altitude only","Varied as needed","The same parameters","5.4.2"
"Chapter 15: Speed Skydiving - National Test",SP,4,"The maximum exit altitude for a valid jump is what?","13,000 feet","14,000 feet","15,000 feet","16,000 feet","14,000 feet","5.4.3"
"Chapter 15: Speed Skydiving - National Test",SP,5,"If exit altitude exceeds the maximum, what happens?","Score stands","Rejump granted","Zero score","Warning issued","Rejump granted","5.4.3"
"Chapter 15: Speed Skydiving - National Test",SP,6,"If exit altitude is below minimum, competitor may choose to?","Automatic rejump","Accept score or rejump","Zero score","Continue anyway","Accept score or rejump","5.4.4"
"Chapter 15: Speed Skydiving - National Test",SP,7,"The validation window length is how many feet?","2,500 feet","3,000 feet","3,300 feet","4,000 feet","3,300 feet","2.8.1"
"Chapter 15: Speed Skydiving - National Test",SP,8,"Competitors shall not carry additional or removable weight. Weight checks may fluctuate by how much?","+/- 1kg","+/- 2kg","+/- 3kg","+/- 5kg","+/- 2kg","3.2.4"
"Chapter 15: Speed Skydiving - National Test",SP,9,"Each competitor must wear what on every jump?","Two PLDs","Audio altitude warning device","Video camera","Tracking device","Audio altitude warning device","3.2.8"
"Chapter 15: Speed Skydiving - National Test",SP,10,"Maximum competitors per exit pass in Speed Skydiving?","Four","Five","Six","Eight","Six","5.3.2"
"Chapter 15: Speed Skydiving - National Test",SP,11,"Speed results are calculated to what precision?","1 km/h","0.1 km/h","0.01 km/h","0.001 km/h","0.01 km/h","5.5.1"
"Chapter 15: Speed Skydiving - National Test",SP,12,"Exit order in a jump run is determined by what?","Random draw","Registration order","Personal best descending","Reverse standings","Personal best descending","5.3.1"
"Chapter 15: Speed Skydiving - National Test",SP,13,"The first person to exit on a pass turns how many degrees to the right?","45 degrees","90 degrees","180 degrees","Straight ahead","90 degrees","5.2.3"
"Chapter 15: Speed Skydiving - National Test",SP,14,"Equipment inspections may be made at any time during competition.","True","False","Only before competition","Only after complaint","True","3.2.3"
"Chapter 15: Speed Skydiving - National Test",SP,15,"PLD tampering results in what penalty?","Warning","Zero score for jump","Disqualification","One-year ban","Zero score for jump","3.2.13"
"Chapter 15: Speed Skydiving - National Test",SP,16,"The mixed team score in each round is calculated how?","Average of scores","Sum of scores","Best score used","Weighted average","Sum of scores","4.2.2"
"Chapter 15: Speed Skydiving - National Test",SP,17,"Mixed Team Event uses scores from how many rounds?","All rounds","Best 3 rounds","Last 3 completed rounds","First 3 rounds","Last 3 completed rounds","4.2.2"
"Chapter 15: Speed Skydiving - National Test",SP,18,"If tie cannot be broken after tie-break jump and best round comparison, what happens?","Another jump","Co-medalists declared","Chief Judge decides","Draw lots","Co-medalists declared","7.1.2.3"
"Chapter 15: Speed Skydiving - National Test",SP,19,"Competitors shall not use what systems?","GPS systems","Propulsion systems","Audio systems","Video systems","Propulsion systems","3.2.1"
"Chapter 15: Speed Skydiving - National Test",SP,20,"The PLD must have a speed accuracy of less than what?","1 m/s","2 m/s","3 m/s","5 m/s","3 m/s","3.1.1"
"Chapter 15: Speed Skydiving - National Test",SP,21,"Additional or removable weight is permitted in Speed Skydiving.","True up to 10kg","True up to 5kg","False","Only for training","False","3.2.4"
"Chapter 15: Speed Skydiving - National Test",SP,22,"For later rounds, reverse order of ranking may be used at whose discretion?","Chief Judge","Meet Director","USPA Controller","Competitors vote","Meet Director","5.1.2"
"Chapter 15: Speed Skydiving - National Test",SP,23,"The validation window length in meters is approximately what?","800 m","900 m","1,006 m","1,200 m","1,006 m","2.8.1"
"Chapter 15: Speed Skydiving - National Test",SP,24,"The performance window starts when vertical speed first reaches what?","5 m/s","10 m/s","15 m/s","20 m/s","10 m/s","2.7.1"
"Chapter 15: Speed Skydiving - National Test",SP,25,"The performance window ends at 7,400 ft below start OR at what altitude, whichever first?","5,000 ft AGL","5,600 ft AGL (breakoff)","6,000 ft AGL","4,500 ft AGL","5,600 ft AGL (breakoff)","2.7.1"
"Chapters 1-3: General Competition Rules",GR,1,"What is the minimum number of freefall skydives required to compete at a USPA National Skydiving Championships?","50 skydives","75 skydives","100 skydives","200 skydives","100 skydives","1-5.2.1"
"Chapters 1-3: General Competition Rules",GR,2,"What is the minimum age requirement to compete at USPA Nationals?","16 years","17 years","18 years","21 years","18 years","1-5.2.1"
"Chapters 1-3: General Competition Rules",GR,3,"What is the maximum wind limit for all events unless otherwise specified?","7 m/s","9 m/s","11 m/s","13 m/s","11 m/s","1-8.3.2"
"Chapters 1-3: General Competition Rules",GR,4,"How long do competitors have to file a protest after knowledge of the grounds for protest?","30 minutes","1 hour","2 hours","24 hours","2 hours","1-8.4.2"
"Chapters 1-3: General Competition Rules",GR,5,"What fee must accompany a protest?","$25","$50","$75","$100","$50","1-8.4.4"
"Chapters 1-3: General Competition Rules",GR,6,"What is the minimum license required for Formation Skydiving Open class?","A License","B License","C License","D License","C License","1-Table 1"
"Chapters 1-3: General Competition Rules",GR,7,"The Meet Director may NOT be a competitor in any event.","True","False","Only in team events","Only with Jury approval","True","1-4.1.4"
"Chapters 1-3: General Competition Rules",GR,8,"How many aircraft passes over the target are permitted per competitor or team for any jump?","One","Two","Three","Unlimited","Two","1-8.2.3.1"
"Chapters 1-3: General Competition Rules",GR,9,"What is the minimum advance call time before boarding the aircraft?","5 minutes only","10 and 5 minutes","15 and 5 minutes","20 and 10 minutes","15 and 5 minutes","1-7.5.1"
"Chapters 1-3: General Competition Rules",GR,10,"For Open class Canopy Piloting, how many high-performance landings are required in the last 12 months?","100 landings","125 landings","150 landings","200 landings","150 landings","1-5.2.2"
"Chapters 1-3: General Competition Rules",GR,11,"The panel of judges for a discipline must comprise an event judge plus at least how many other judges?","Two","Three","Four","Five","Three","1-4.2.4"
"Chapters 1-3: General Competition Rules",GR,12,"What is the penalty for failure to meet video requirements at a USPA Nationals?","Zero score","10% score penalty","20% score penalty","Rejump required","20% score penalty","1-7.3.1"
"Chapters 1-3: General Competition Rules",GR,13,"What is the minimum score required on the written exam for a Regional Judge rating?","70%","75%","80%","85%","75%","2-6.5.2"
"Chapters 1-3: General Competition Rules",GR,14,"What is the minimum score required on the practical exam for a National Judge rating?","75%","80%","85%","90%","85%","2-6.5.3"
"Chapters 1-3: General Competition Rules",GR,15,"How long is a USPA member required to have been a member before earning a National Judge rating?","6 months","1 year","2 years","3 years","1 year","2-3.2.1"
"Chapters 1-3: General Competition Rules",GR,16,"What is the initial judge rating fee that includes a logbook?","$25","$35","$45","$50","$35","2-3.5.1.2"
"Chapters 1-3: General Competition Rules",GR,17,"A National Judge rating automatically expires at the end of which calendar year?","Third year","Fourth year","Fifth year","Seventh year","Fifth year","2-5.1.2.1"
"Chapters 1-3: General Competition Rules",GR,18,"By what date must judges contact the Director of Competition to be on the active judges list?","October 1","November 1","December 1","January 1","December 1","2-5.2.1"
"Chapters 1-3: General Competition Rules",GR,19,"To apply for Judge Examiner appointment, how many consecutive years must a judge be on the active list?","Three years","Four years","Five years","Seven years","Five years","2-6.3.1"
"Chapters 1-3: General Competition Rules",GR,20,"A Regional Judge's rating is valid for how long?","1 year","3 years","5 years","Permanent with USPA membership","Permanent with USPA membership","2-5.1.1.1"
"Chapters 1-3: General Competition Rules",GR,21,"Who has authority to impose regulations due to unforeseeable exigencies during competition?","Chief Judge only","Meet Director only","Meet Management","The Jury","Meet Management","1-6.3.1"
"Chapters 1-3: General Competition Rules",GR,22,"What is the minimum number of judges required for Accuracy Landing?","Three judges","Four judges","Five judges","Six judges","Five judges","1-4.2.6"
"Chapters 1-3: General Competition Rules",GR,23,"How many years can the same person serve as Chief Judge in the same discipline consecutively?","One year","Two years","Three years","No limit","Two years","2-7.3.1.1"
"Chapters 1-3: General Competition Rules",GR,24,"What minimum score on absolute assessments is required for FS and CF judge training?","70%","75%","80%","85%","80%","2-6.6.1"
"Chapters 1-3: General Competition Rules",GR,25,"What organization delegated USPA authority over skydiving competition in the United States?","FAA","FAI","NAA","ISC","NAA","1-1.3.1"
